STATEFIPS,STATE,ZIPCODE,AGI_STUB,No_of_Returns,AGI,Returns__Tot_Income,Tot_Income,Returns_Sal_Wages,Sal_Wages_Amt
6,CA,92701,4,20540.0,806852.0,20540.0,813424.0,18600.0,711756.0
6,CA,92703,5,29910.0,1082102.0,29910.0,1090428.0,26260.0,963832.0
6,CA,92704,5,39690.0,1771216.0,39690.0,1785749.0,34970.0,1505228.0
6,CA,92705,6,21970.0,2784190.0,21970.0,2829240.0,17730.0,1601891.0
6,CA,92706,5,16460.0,1022327.0,16460.0,1033215.0,14200.0,772377.0
6,CA,92707,5,27610.0,1246585.0,27610.0,1256446.0,24890.0,1089678.0
6,CA,92708,6,28390.0,2373966.0,28390.0,2403812.0,21770.0,1577972.0
6,CA,92780,5,27300.0,1748122.0,27300.0,1770034.0,23560.0,1371795.0
6,CA,92782,5,13740.0,1836746.0,13740.0,1867393.0,11700.0,1293384.0
6,CA,92801,5,29130.0,1320842.0,29130.0,1331367.0,25690.0,1128615.0
6,CA,92802,4,19320.0,907841.0,19320.0,914860.0,16970.0,741671.0
6,CA,92804,5,39500.0,1855816.0,39500.0,1872615.0,34070.0,1565740.0
6,CA,92805,5,34320.0,1610709.0,34320.0,1623208.0,30940.0,1424411.0
6,CA,92806,5,19640.0,1103769.0,19640.0,1114595.0,17100.0,897571.0
6,CA,92807,6,18280.0,2093491.0,18280.0,2119063.0,14480.0,1310291.0
6,CA,92808,5,9750.0,1249173.0,9750.0,1268461.0,8100.0,872695.0
6,CA,92821,5,19690.0,1866317.0,19690.0,1888641.0,16260.0,1287274.0
6,CA,92823,2,2590.0,327510.0,2590.0,331587.0,2010.0,209387.0
6,CA,92831,5,16250.0,1235219.0,16250.0,1250032.0,13990.0,872574.0
6,CA,92832,3,11950.0,686831.0,11950.0,694009.0,10550.0,568990.0
6,CA,92833,5,24500.0,1758330.0,24500.0,1780526.0,20340.0,1297783.0
6,CA,92835,5,12120.0,1539376.0,12120.0,1560531.0,9250.0,899881.0
6,CA,92840,5,26310.0,1270722.0,26310.0,1283246.0,22470.0,1062575.0
6,CA,92841,4,16260.0,814264.0,16260.0,823937.0,13350.0,631807.0
6,CA,92843,4,21350.0,898318.0,21350.0,907516.0,18240.0,763350.0
6,CA,92844,2,11190.0,472469.0,11190.0,478054.0,9220.0,394604.0
6,CA,92845,3,8290.0,740665.0,8290.0,747459.0,6590.0,541490.0
6,CA,92860,4,11180.0,927321.0,11160.0,937136.0,8970.0,654339.0
6,CA,92861,3,2920.0,724471.0,2920.0,737261.0,2030.0,285408.0
6,CA,92865,4,10100.0,776080.0,10100.0,783742.0,8580.0,590798.0
6,CA,92866,2,7130.0,488751.0,7130.0,494025.0,5940.0,377042.0
6,CA,92867,6,19730.0,2078724.0,19730.0,2106687.0,16140.0,1301826.0
6,CA,92868,3,11370.0,695236.0,11370.0,701507.0,10090.0,545172.0
6,CA,92869,5,17870.0,1880569.0,17870.0,1907502.0,14430.0,1191178.0
6,CA,92870,5,25270.0,1985260.0,25270.0,2007908.0,20880.0,1483672.0
6,CA,92879,5,21650.0,1234646.0,21650.0,1246554.0,18980.0,1010384.0
6,CA,92880,6,31520.0,2431730.0,31520.0,2457005.0,27770.0,2057736.0
6,CA,92881,5,13950.0,1264174.0,13950.0,1279620.0,11980.0,926782.0
6,CA,92882,6,31000.0,2049644.0,31000.0,2070113.0,27030.0,1666274.0
6,CA,92883,5,15810.0,1396734.0,15810.0,1413635.0,12920.0,1057710.0
6,CA,92886,6,23760.0,3440912.0,23760.0,3490009.0,18530.0,2033897.0
6,CA,92887,5,10030.0,1445893.0,10030.0,1470078.0,8120.0,906102.0
6,CA,93001,5,15770.0,1285584.0,15770.0,1308603.0,12860.0,812702.0
6,CA,93003,6,24870.0,2036641.0,24870.0,2068167.0,19530.0,1311368.0
6,CA,93004,5,15040.0,1149110.0,15040.0,1163680.0,12250.0,832872.0
6,CA,93010,6,22030.0,2147821.0,22030.0,2175935.0,17340.0,1297567.0
6,CA,93012,6,17840.0,2045784.0,17840.0,2073623.0,13400.0,1270692.0
6,CA,93013,3,7720.0,691033.0,7720.0,702484.0,5950.0,386917.0
6,CA,93015,2,8250.0,472102.0,8250.0,476250.0,7350.0,382963.0
6,CA,93021,5,18010.0,1807776.0,18010.0,1833769.0,15260.0,1323924.0
6,CA,93022,2,3080.0,274937.0,3080.0,279002.0,2380.0,159972.0
6,CA,93023,5,9640.0,1059682.0,9640.0,1082190.0,6720.0,487226.0
6,CA,93030,5,26240.0,1256855.0,26240.0,1265849.0,23730.0,1056062.0
6,CA,93033,5,36010.0,1488507.0,36010.0,1496282.0,32910.0,1287421.0
6,CA,93035,5,14110.0,1118447.0,14110.0,1135075.0,11160.0,707093.0
6,CA,93036,5,21850.0,1306647.0,21850.0,1318848.0,19180.0,1015791.0
6,CA,93041,3,10130.0,520228.0,10120.0,524510.0,8670.0,408613.0
6,CA,93060,4,15170.0,814394.0,15170.0,821037.0,13300.0,614407.0
6,CA,93063,6,27580.0,2270534.0,27580.0,2298472.0,22660.0,1688405.0
6,CA,93065,6,36110.0,3175323.0,36110.0,3217307.0,29950.0,2360779.0
6,CA,93066,1,1640.0,233780.0,1640.0,237401.0,1280.0,106366.0
6,CA,93101,5,15550.0,1241788.0,15550.0,1264826.0,13210.0,807352.0
6,CA,93103,4,9590.0,921792.0,9590.0,936968.0,7710.0,506770.0
6,CA,93105,5,13090.0,1678772.0,13090.0,1714823.0,9190.0,815179.0
6,CA,93108,5,4520.0,1935247.0,4520.0,1958324.0,2540.0,374195.0
6,CA,93109,4,5400.0,784841.0,5400.0,799784.0,3900.0,376688.0
6,CA,93110,5,7990.0,1130489.0,7990.0,1148109.0,5850.0,543759.0
